"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 11:39:12 TRT 2024","Mon May 06 11:39:16 TRT 2024","3419","chromium","tests/usePageObjects.spec.ts","","","","navigate to form page @smoke @regression",""
"passed","Mon May 06 11:39:16 TRT 2024","Mon May 06 11:39:19 TRT 2024","3655","chromium","tests/usePageObjects.spec.ts","","","","parametrized methods @smoke",""
